36,"['838b99', '8ed0e7', 'c8d5e1', 'ca3973', 'e3b499', 'f9efeb']","[0.1248, 0.2496, 0.1716, 0.4212, 0.1716, 0.4836, 0.312, 0.1872, 0.3744, 0.2808]"
37,"['808488', '92cee5', 'c63874', 'ddb7a1', 'f3e5e1', 'fafcfd']","[0.6396, 0.4056, 0.2964, 0.2184, 0.2496, 0.2184, 0.2652, 0.2028, 0.2652, 0.5304]"
38,"['8b9299', '8ecfe7', 'c33670', 'cad7e2', 'e7b59a', 'faefea']","[0.234, 0.5928, 0.2652, 0.2964, 0.3588, 0.3588, 0.1872, 0.3588, 0.2808, 0.234]"
39,"['848897', '8cd0e7', 'c73574', 'cec9d1', 'e4b18c', 'f7efed']","[0.3276, 0.312, 0.2964, 0.4992, 0.2964, 0.2028, 0.156, 0.2184, 0.5772, 0.3744]"
40,"['806662', '92d1e8', '9498b0', 'd6397a', 'e0c0af', 'f6eeeb']","[0.1872, 0.5148, 0.6552, 0.1716, 0.3276, 0.1716, 0.4524, 0.6552, 0.4056, 0.234]"
41,"['858c99', '8ccfe7', 'c83874', 'c9d4e0', 'e5b598', 'f9efeb']","[0.3744, 0.1248, 0.2964, 0.3276, 0.5304, 0.6084, 0.2964, 0.234, 0.2964, 0.2964]"
42,"['898fa2', '8fd2e9', 'bf3871', 'cfd0d7', 'e2b08a', 'f9efec']","[0.2184, 0.4992, 0.39, 0.6552, 0.2496, 0.312, 0.39, 0.1872, 0.2652, 0.4836]"
43,"['6f7878', '93d3e9', 'a1a5bc', 'c83673', 'e6b899', 'f6edeb']","[0.5304, 0.2652, 0.2184, 0.6552, 0.7332, 0.2808, 0.4836, 0.3276, 0.4368, 0.312]"
44,"['8fcfe6', '9e9497', 'c33672', 'd1dbe6', 'f9e1d4', 'fafcfc']","[0.4368, 0.2496, 0.1716, 0.3432, 0.4524, 0.3432, 0.3432, 0.5772, 0.4368, 0.39]"
45,"['898d98', '8cd0e8', 'c13871', 'c7d1de', 'e6b59b', 'f8efeb']","[0.5928, 0.78, 0.2184, 0.2808, 0.468, 0.39, 0.312, 0.4836, 0.2184, 0.4836]"
