77,"[5.1562, 7.292, 5.7891, 3.0293, 3.9717, 9.7891, 5.7588, 5.4814, 3.9707, 7.9473]"
78,"[5.6484, 7.8809, 7.1982, 2.8389, 6.5615, 6.5771, 8.1338, 4.4053, 5.3057, 4.083]"
79,"[5.1709, 5.4834, 1.9688, 6.125, 9.0049, 3.8838, 3.5469, 4.833, 2.5859, 3.8838]"
80,"[2.9443, 6.5381, 5.5752, 2.9473, 4.9189, 13.4512, 11.165, 4.916, 14.0674, 9.4785]"
81,"[12.3008, 8.6738, 5.3271, 5.6807, 5.6943, 8.373, 6.6533, 11.7021, 3.3486, 6.6357]"
82,"[6.1416, 5.4688, 6.4775, 7.541, 5.793, 8.9004, 6.4795, 9.207, 7.6299, 10.5723]"
83,"[7.6904, 5.6758, 10.7744, 7.7588, 2.1152, 3.873, 5.2637, 6.3574, 7.3682, 4.2256]"
84,"[8.3076, 7.5889, 7.9355, 5.0508, 8.2734, 8.3105, 6.0977, 2.8877, 7.9229, 9.7773]"
85,"[7.5342, 9.7109, 11.4355, 9.3369, 10.7705, 9.3486, 11.125, 11.832, 7.5742, 4.2988]"
86,"[6.2881, 15.0967, 10.0186, 15.1787, 8.5596, 4.832, 13.3174, 11.1191, 10.3232, 6.6924]"
87,"[16.3027, 11.0469, 12.8398, 4.5771, 9.917, 6.8828, 10.6113, 5.3203, 12.5439, 8.3896]"
88,"[8.5146, 3.1221, 2.6973, 6.6201, 9.3447, 8.2129, 11.2178, 7.3916, 2.7188, 9.7422]"
89,"[15.6709, 16.0996, 1.959, 10.2383, 1.5615, 16.8164, 18.0186, 17.6543, 3.1768, 16.457]"
90,"[4.7881, 6.3975, 7.6201, 13.9512, 6.8174, 5.1787, 12.7783, 14.1602, 14.793, 16.3955]"
91,"[15.6035, 6.5537, 4.1221, 9.4482, 16.7939, 7.8252, 6.2441, 11.9102, 9.4238, 12.3789]"
92,"[7.1523, 8.3887, 5.4824, 5.4561, 8.8145, 13.4795, 8.417, 5.8711, 15.7158, 2.918]"
93,"[4.2715, 5.1006, 4.7168, 5.1143, 15.4521, 6.4102, 2.5596, 11.0508, 13.1963, 11.0527]"
94,"[12.9883, 7.3906, 10.0, 12.5078, 7.3574, 6.0654, 16.0918, 10.3682, 3.9062, 13.7939]"
95,"[7.1357, 10.7148, 8.4902, 18.208, 13.873, 7.6211, 7.1182, 18.7324, 13.8027, 16.0068]"
96,"[10.0713, 6.373, 4.5635, 10.5166, 5.5039, 10.499, 13.7227, 8.1855, 15.4385, 17.3428]"
97,"[4.1172, 9.1211, 9.5967, 2.7627, 5.4951, 11.8301, 4.5527, 8.6426, 10.499, 8.6953]"
98,"[6.0605, 9.2275, 13.3848, 12.9238, 4.6221, 6.9541, 7.4004, 9.2256, 12.0752, 6.4609]"
99,"[12.2588, 5.6729, 5.1787, 9.9844, 6.1777, 11.4736, 5.667, 5.6553, 9.4902, 10.4326]"
100,"[8.292, 19.3174, 5.3643, 11.1445, 10.2881, 14.0791, 10.708, 9.6807, 4.3477, 6.8691]"
101,"[5.3604, 17.4736, 15.1621, 7.3037, 15.6338, 16.0859, 5.3701, 11.209, 19.8887, 19.5029]"
102,"[6.9785, 2.001, 10.9082, 9.4795, 6.4775, 19.5186, 4.9707, 5.4717, 1.4814, 18.4062]"
103,"[16.3066, 12.2373, 10.1631, 5.6201, 3.0537, 7.6582, 5.1514, 7.1357, 7.1387, 4.0918]"
104,"[18.0986, 5.1953, 9.3398, 11.9854, 9.4043, 5.6953, 9.8682, 10.3906, 20.7695, 24.4414]"
105,"[19.8633, 14.1006, 17.8516, 6.7959, 19.8477, 18.043, 6.8184, 16.7725, 18.2676, 4.1797]"
106,"[14.46, 12.3613, 7.0322, 11.7773, 14.5029, 15.5039, 12.332, 15.5166, 9.1963, 16.5977]"
107,"[16.1758, 9.7383, 6.4648, 12.9463, 6.6084, 10.8291, 12.9082, 13.4707, 10.2637, 3.7734]"
